CODE	TIME	STATIONCODE	INNUM	OUTNUM	TRANNUM	GETONPED	GETOFFPED	GETONNUM	GETONTIME	GETONWAITTIME	TRANINNUM	TRANINTIME	TRANINWAITTIME	RESOURCENUM	GETOFFTIME	AVGSTANUM	MAXSTANUM	AVGPLATNUM	MAXPLATNUM	AVGLIMITNUM	MAXLIMITNUM
20150327	6:10:00	角门西	49	6	4号线(大兴线)上/10号线上:33;4号线(大兴线)下/10号线上:22;10号线下/4号线(大兴线)上:48;10号线上/4号线(大兴线)上:78;10号线上/4号线(大兴线)下:11;10号线下/4号线(大兴线)下:6	04931Q011:9;102021:114;04932P024:37;101004:169	04931Q011:19;102021:49;04932P024:101;101004:323	10号线上:7;4号线(大兴线)上:27;10号线下:32	10号线上:295;4号线(大兴线)上:304;10号线下:770	10号线上:112;4号线(大兴线)上:127;10号线下:590	4号线(大兴线)下:9;10号线上:107;4号线(大兴线)上:10;10号线下:137	4号线(大兴线)下:461;10号线上:310;4号线(大兴线)上:426;10号线下:370	4号线(大兴线)下:211;10号线上:134;4号线(大兴线)上:106;10号线下:439	4号线(大兴线)下:1;10号线上:1;4号线(大兴线)上:1;10号线下:1		275	554	4号线(大兴线)下:6;4号线(大兴线)上:18;10号线下:76;10号线上:35	4号线(大兴线)下:25;4号线(大兴线)上:44;10号线下:169;10号线上:120	0	0
20150327	6:10:00	公益西桥	40	9		04932P024:33;04931Q011:2;04932P026:30	04932P024:3;04931Q011:6;04932P026:4	4号线(大兴线)上:63;4号线(大兴线)下:2	4号线(大兴线)上:305;4号线(大兴线)下:302	4号线(大兴线)上:126;4号线(大兴线)下:132				4号线(大兴线)上:1;4号线(大兴线)下:1		34	66	4号线(大兴线)下:1;4号线(大兴线)上:13	4号线(大兴线)下:2;4号线(大兴线)上:37	0	0
20150327	6:10:00	新宫	120	3		04932P026:92;04931Q009:4;04932P028:94	04932P026:2;04931Q009:1;04932P028:2	4号线(大兴线)上:186;4号线(大兴线)下:4	4号线(大兴线)上:302;4号线(大兴线)下:340	4号线(大兴线)上:123;4号线(大兴线)下:151				4号线(大兴线)上:1;4号线(大兴线)下:1		94	190	4号线(大兴线)下:1;4号线(大兴线)上:42	4号线(大兴线)下:4;4号线(大兴线)上:113	0	0
20150327	6:10:00	西红门	90	29		04931Q007:9;04932P030:71	04931Q007:28;04932P030:1	4号线(大兴线)下:9;4号线(大兴线)上:71	4号线(大兴线)下:400;4号线(大兴线)上:296	4号线(大兴线)下:224;4号线(大兴线)上:118				4号线(大兴线)下:1;4号线(大兴线)上:1		80	165	4号线(大兴线)下:3;4号线(大兴线)上:30	4号线(大兴线)下:11;4号线(大兴线)上:81	0	0
20150327	6:10:00	高米店北	60	2		04932P030:44;04932P032:44;04931Q007:4	04932P030:1;04932P032:1;04931Q007:8	4号线(大兴线)上:88;4号线(大兴线)下:4	4号线(大兴线)上:295;4号线(大兴线)下:305	4号线(大兴线)上:117;4号线(大兴线)下:113				4号线(大兴线)上:1;4号线(大兴线)下:1		47	94	4号线(大兴线)下:1;4号线(大兴线)上:19	4号线(大兴线)下:5;4号线(大兴线)上:51	0	0
20150327	6:10:00	高米店南	0	2			04932P032:2									0	2			0	0
20150327	6:10:00	枣园	80	3		04932P032:61;04932Q005:8;04932P034:63	04932P032:1;04932Q005:2;04932P034:1	4号线(大兴线)上:124;4号线(大兴线)下:8	4号线(大兴线)上:301;4号线(大兴线)下:829	4号线(大兴线)上:121;4号线(大兴线)下:651				4号线(大兴线)上:1;4号线(大兴线)下:1		65	131	4号线(大兴线)下:2;4号线(大兴线)上:29	4号线(大兴线)下:8;4号线(大兴线)上:74	0	0
20150327	6:10:00	清源路	50	0		04932P034:45;04932Q005:8	04932Q005:5	4号线(大兴线)上:45;4号线(大兴线)下:8	4号线(大兴线)上:301;4号线(大兴线)下:1256	4号线(大兴线)上:120;4号线(大兴线)下:1074				4号线(大兴线)上:1;4号线(大兴线)下:1		46	89	4号线(大兴线)下:4;4号线(大兴线)上:21	4号线(大兴线)下:8;4号线(大兴线)上:52	0	0
20150327	6:10:00	黄村西大街	75	1		04932P034:63;04932P036:63	04932P034:1	4号线(大兴线)上:126	4号线(大兴线)上:301	4号线(大兴线)上:121				4号线(大兴线)上:1		63	124	4号线(大兴线)下:3;4号线(大兴线)上:27	4号线(大兴线)下:7;4号线(大兴线)上:74	0	0
20150327	6:10:00	黄村火车站	110	0		04932P036:93		4号线(大兴线)上:93	4号线(大兴线)上:303	4号线(大兴线)上:123				4号线(大兴线)上:1		95	189	4号线(大兴线)下:8;4号线(大兴线)上:42	4号线(大兴线)下:14;4号线(大兴线)上:106	0	0
